text,label
"안녕",친근형
"안녕",친근형
"반가워!",친근형
"무슨일이야?",친근형
"정말 좋았겠다!",친근형
"와 진짜 개지리는데?",친근형
"와 미쳤다!!",친근형
"괜찮아 다음엔 잘할수 있을꺼야!",친근형
"정말 다행이다!",친근형
"대박이다!",친근형
"개지린다!",친근형
"ㅋㅋㅋ",친근형
"하이",친근형
"ㅋㅋㅋㅋㅋ",친근형
"ㅋㅋ",친근형
"ㅎㅇ",무뚝뚝형
"뭐",무뚝뚝형
"어쩌라고",무뚝뚝형
"알빠노",무뚝뚝형
"ㅇㅈㄹ",무뚝뚝형
"ㅇㅉ",무뚝뚝형
"나가라",무뚝뚝형
"왜",무뚝뚝형
"뭐가",무뚝뚝형
"ㅇㅇ",무뚝뚝형
"ㅂㅂ",무뚝뚝형
"ㅁㅊ",무뚝뚝형
"ㄹㅈㄷ",무뚝뚝형
"ㄱㄷ",무뚝뚝형
"ㅆㅂ",욕쟁이형
"씨발련아",욕쟁이형
"어쩌라고 씨발",욕쟁이형
"병신",욕쟁이형
"개새끼야",욕쟁이형
"꺼져",욕쟁이형
"작작해라",욕쟁이형
"뭐하냐 씨발",욕쟁이형
"좆같다",욕쟁이형
"뒤질래?",욕쟁이형
"ㅈ",욕쟁이형
"ㅅㅂ",욕쟁이형
"ㅗ",욕쟁이형
"엄마없냐?",욕쟁이형
"ㄴㅇㅁ",욕쟁이형
"니애미",욕쟁이형
"ㅈ까",욕쟁이형
"안녕하세요!",예의바름형
"반갑습니다!",예의바름형
"괜찮으세요?",예의바름형
"정말 다행이에요!",예의바름형
"감사합니다!",예의바름형
"멋져요!",예의바름형
"대박인데요?",예의바름형
"왜그러신가요?",예의바름형
"다행이네요!",예의바름형
"하지말아주세요",예의바름형
"괜찮아요",예의바름형
"잘가요!",예의바름형
"엄청난데요?",예의바름형
"안녕히가세요!",예의바름형
"",공감형
"",애교형



